TeamNM,Date,Opponent,Result,Passing_Pass Attempts,Passing_Completions,Passing_Interceptions,Passing_Pass Yards,Passing_PassTDs,Passing_Pass Eff,Passing_Completions Per Game,Passing_Yds PerCompletion,Passing_Pct,Passing_Pass Yards/G,Rushing_Rush Attempts,Rushing_Rush Net Yards,Rushing_Rush YdsGained,Rushing_Rush YdsLost,Rushing_Yds/Rush,Rushing_RushTDs,Rushing_Rush Yds/G,Rushing_Rush Long,Receiving_Rec,Receiving_ReceivingYards,Receiving_ReceptionsPer Game,Receiving_Yards PerReception,Receiving_Rec TD,Receiving_Rec Yds/G,Receiving_Long Rec,Total Offense_YDS,Total Offense_T Yds/Play,Total Offense_3rd Att,Total Offense_4th Att,Total Offense_3rd Conv,Total Offense_TOP,Total Offense_Plays,Total Offense_Tot Off,Total Offense_Yds/Play,Total Offense_Rushing First Downs,Total Offense_Passing First Downs,Total Offense_First Downs by Penalty,Total Offense_Penalties,Total Offense_PenaltiesPer Game,Total Offense_Penalty Yards,Total Offense_Penalty YdsPer Game,Total Offense_Total Off  Yards/G,All-Purpose Yards_IntYds,All-Purpose Yards_ReceivingYards,All-Purpose Yards_Int,All-Purpose Yards_FRetYds,All-Purpose Yards_Punt Ret Yds,All-Purpose Yards_KO Ret Yds,All-Purpose Yards_APY,All-Purpose Yards_All-Purpose Yards/G,All-Purpose Yards_AP Plays,Scoring_TDs,Scoring_Kick PAT,Scoring_PAT Att,Scoring_RushPAT,Scoring_Ru2PTAtt,Scoring_ReceivingPAT,Scoring_Pass 2Pt Conv,Scoring_Pass 2PT Att,Scoring_Kick ReturnPAT,Scoring_Fumb RetPAT,Scoring_FG,Scoring_Safeties,Scoring_Points,Sacks_SackUA,Sacks_SackA,Sacks_Sack Yds,Sacks_Sacks,Tackles_Solo Tack,Tackles_Asst Tack,Tackles_STFL,Tackles_ATFL,Tackles_Tackle Yds,Tackles_Tackles,Passes Defended_IntYds,Passes Defended_PBU,Passes Defended_Int,Passes Defended_Int Ret TDs,Passes Defended_PDef,Fumbles_FF,Fumbles_FRet,Fumbles_FRetTD,Fumbles_FRetYds,Kicking_FGM,Kicking_FGA,Kicking_FG Blocks Allowed,Kicking_Long FGM,Punting_Punts inside 20,Punting_Punts,Punting_Punt Yds,Punting_Punt Avg,Punting_Punt TBs,Punting_Long Punt,Punting_Net Punt Yds,Punt Returns_Punt Ret,Punt Returns_Punt Ret TDs,Punt Returns_Punt Ret Yds,Kickoffs and KO Returns_KO,Kickoffs and KO Returns_KO Yds,Kickoffs and KO Returns_KO TB,Kickoffs and KO Returns_KO Ret,Kickoffs and KO Returns_Kick Ret TDs,Kickoffs and KO Returns_KO Ret Yds,Kickoffs and KO Returns_Net KO Yds.,Kickoffs and KO Returns_fc yds,Redzone_RZScores,Redzone_RZAtt,Redzone_RZPts,Redzone_RZ Rush TD,Redzone_RZ Pass TD,Redzone_RZ FG Made,Redzone_RZEndFGA,Redzone_RZEndFumble,Redzone_RZEndINT,Redzone_RZEndDowns,Redzone_RZEndHalf,Redzone_RZEndGame,Defense_Fumbles Recovered,Defense_Int,Defense_Blkd,Turnover Margin_Fumbles Recovered,Turnover Margin_FumblesLost,Turnover Margin_Int,Turnover Margin_Interceptions
Colorado,09/02/2023,@ TCU,W 45-42,47,38/,,510,4,200.09,38.0,13.421,0.809,510.0,34,55,93,38,1.62,2.0,55.0,10,38/,510,38.0,13.42,4,510.0,75,565,6.98,15,2.0,9,34:33,81,565,6.98,6,20,4.0,6,6.0,35,35.0,,,510,2.0,,2.0,18,585,,76,6,6.0,6,,,,,,,,1.0,,45,,,,,46,20,,,,66,,3,2.0,,5.0,1,,,,1.0,2.0,1/,49.0,1.0,3,133,44.3,,56,133,1,,2.0,7,414,1.0,1.0,,18,239,,3,3,21,2.0,1.0,,,,,,,,,2.0,,,1.0,2.0,
Colorado,09/09/2023,Nebraska,W 36-14,44,32,,396,2,163.33,32.0,12.375,0.727,396.0,33,58,124,66,1.76,2.0,58.0,34,32,396,32.0,12.38,2,396.0,41,454,5.9,18,1.0,9,30:19,77,454,5.9,4,16,3.0,9,9.0,80,80.0,,4.0,396,1.0,5.0,11.0,,474,,68,4,3.0,3,,,,,1,,,3.0,,36,1.0,2.0,14.0,2.0,39,12,4.0,4.0,31.0,51,4.0,3,1.0,,4.0,,,,5.0,3.0,3.0,,32.0,2.0,4,153,38.3,1.0,43,133,2,,11.0,7,466,6.0,,,,293,,6,6,29,2.0,1.0,3.0,3.0,,,,,,3/,1.0,,3/,1.0,1.0,
Colorado,09/16/2023,Colorado St.,W 43-35 (1 OT),47,38/,1.0,348,4,166.88,38.0,9.158,0.809,348.0,25,70,114,44,2.8,,70.0,19,38/,348,38.0,9.16,4,348.0,45,418,5.81,13,,4,25:23,72,418,5.81,5,15,4.0,10,10.0,87,87.0,,80.0,348,3.0,,,46,544,,68,5,3.0,3,,,2/,2.0,2/,,,2.0,,43,3.0,,8.0,3.0,61/,10,9.0,,17.0,71,80.0,3,3.0,1/,6.0,1,,,,2.0,3.0,,41.0,2.0,5,242,48.4,,54,214,,,,6,379,2.0,2.0,,46,275,,4,4,22,,2.0,2.0,2.0,,,,,,1,3.0,1.0,1,1.0,3.0,1.0
Colorado,09/23/2023,@ Oregon,L 6-42,33,23,,159,1,120.17,23.0,6.913,0.697,159.0,25,40,115,75/,1.6,,40.0,28,23,159,23.0,6.91,1,159.0,21,199,3.43,14,1.0,5,24:54,58,199,3.43,4,6,3.0,12,12.0,106,106.0,,,159,1.0,,2.0,,201,,50,1,,1,,,,,,,,,,6,2.0,,12.0,2.0,40,46,4.0,4.0,20.0,86,,2,1.0,,3.0,,,,,,,,,3.0,7,281,40.1,,56,266,1,,2.0,2,104,,,,,80,,1,1,6,,1.0,,,,,,,,,1.0,,,,1.0,
Colorado,09/30/2023,Southern California,L 41-48,45,30,1.0,371,4,160.81,30.0,12.367,0.667,371.0,45,193,224,31,4.29,2.0,193.0,25,30,371,30.0,12.37,4,371.0,65,564,6.27,18,2.0,9,32:05,90,564,6.27,17/,12,3.0,7,7.0,60,60.0,,,371,1.0,,,17,581,,77,6,5.0,5,,,,,1,,,,,41,1.0,2.0,13.0,2.0,39,16,3.0,2.0,17.0,55,,2,1.0,,3.0,,,,,,1.0,,,,5,169,33.8,,48,166,,,,6,388,4.0,1.0,,17,244,,3,3,21,1.0,2.0,,,,,,,,,1.0,,,,1.0,1.0
Colorado,10/07/2023,@ Arizona St.,W 27-24,42,26,,239,1,117.56,26.0,9.192,0.619,239.0,30,56,112,56,1.87,2.0,56.0,16,26,239,26.0,9.19,1,239.0,43,295,4.1,16,2.0,5,25:12,72,295,4.1,5,12,2.0,8,8.0,65,65.0,,,239,,,49.0,,344,,58,3,3.0,3,,,,,,,,2.0,,27,5.0,,31.0,5.0,51,18,8.0,,39.0,69,,5,,,5.0,1,,,,2.0,2.0,,43.0,2.0,7,347,49.6,,60,332,2,,49.0,6,333,1.0,,,,266,,3,3,21,2.0,1.0,,,,,,,,,,1.0,,,,
Colorado,10/13/2023,Stanford,L 43-46 (2 OT),47,33,1.0,400,5,172.55,33.0,12.121,0.702,400.0,35,132,182,50,3.77,1.0,132.0,38,33,400,33.0,12.12,5,400.0,48,532,6.49,13,2.0,6,25:18,82,532,6.49,11,19,2.0,17/,17.0,127,127.0,,,400,,,6.0,,538,,69,6,5.0,5,1.0,1.0,,,,,,,,43,3.0,,12.0,3.0,55,4,5.0,2.0,18.0,59,,4,,,4.0,,,,,,1.0,,,2.0,3,128,42.7,,57,128,1,,6.0,6,376,3.0,,,,279,,4,5,28,1.0,3.0,,,,1.0,,,,,,,,,,1.0
Colorado,10/28/2023,@ UCLA,L 16-28,43,27,,217,1,112.86,27.0,8.037,0.628,217.0,24,25,83,58,1.04,,25.0,13,27,217,27.0,8.04,1,217.0,45,242,3.61,14,,4,26:46,67,242,3.61,5,12,3.0,7,7.0,60,60.0,,-10.0,217,2.0,,5.0,8,245,,55,1,1.0,1,,,,,,,,3.0,,16,3.0,,10.0,3.0,52,28,5.0,,16.0,80,-10.0,1,2.0,,3.0,2,,,,3.0,3.0,,39.0,1.0,7,298,42.6,1.0,54,274,1,,5.0,4,260,2.0,1.0,,8,161,,3,3,13,,1.0,2.0,2.0,,,,,,2,2.0,,2,,2.0,
Colorado,11/04/2023,Oregon St.,L 19-26,39,24,,245,2,131.23,24.0,10.208,0.615,245.0,19,-7,40,47,-0.37,,-7.0,8,24,245,24.0,10.21,2,245.0,40,238,4.1,14,,5,24:02,58,238,4.1,1,12,2.0,8,8.0,42,42.0,,,245,,,-1.0,24,261,,45,2,2.0,2,,1.0,,,,,1/,1.0,,19,2.0,2.0,16.0,3.0,47,10,5.0,2.0,26.0,57,,5,,,5.0,2,,,,1.0,1.0,,32.0,3.0,7,317,45.3,,56,261,1,,-1.0,4,260,3.0,1.0,,24,161,,3,3,17,,2.0,1.0,1.0,,,,,,2,,,2,1.0,,
Colorado,11/11/2023,Arizona,L 31-34,35,22,,262,2,144.59,22.0,11.909,0.629,262.0,30,77,104,27,2.57,2.0,77.0,16,22,262,22.0,11.91,2,262.0,47,339,5.22,14,1.0,5,31:48,65,339,5.22,4,11,3.0,11,11.0,83,83.0,,,262,,,73.0,,412,,58,4,4.0,4,,,,,,,,1.0,,31,,2.0,2.0,1.0,39,10,3.0,2.0,11.0,49,,5,,,5.0,,,,,1.0,2.0,,39.0,3.0,6,275,45.8,,49,269,6/,,73.0,5,317,3.0,,,,202,,5,5,31,2.0,2.0,1.0,1.0,,,,,,,,,,,,
Colorado,11/17/2023,@ Washington St.,L 14-56,27,12,1.0,164,1,100.28,12.0,13.667,0.444,164.0,41,91,139,48,2.22,1.0,91.0,23,12,164,12.0,13.67,1,164.0,45,255,3.75,16,2.0,4,29:25,68,255,3.75,6,7,2.0,5,5.0,50,50.0,,,164,,,10.0,140/,405,,59,2,2.0,2,,,,,,,,,,14,2.0,,18.0,2.0,30,30,3.0,6.0,25.0,60,,4,,,4.0,3/,,,,,,,,3.0,9/,406/,45.1,1.0,57,388/,1,,10.0,3,159,,5.0,,140/,61,,1,1,7,1.0,,,,,,,,,2,,,2,2.0,,1.0
Colorado,11/25/2023,@ Utah,L 17-23,25,18,,225,2,174.0,18.0,12.5,0.72,225.0,17,37,52,15,2.18,,37.0,11,18,225,18.0,12.5,2,225.0,33,262,6.24,9,2.0,3,20:56,42,262,6.24,2,11,,7,7.0,59,59.0,,,225,,,19.0,52,333,,39,2,2.0,2,,,,,,,,1.0,,17,1.0,,5.0,1.0,34,48,3.0,4.0,10.0,82,,1,,,1.0,,,,,1.0,1.0,,47.0,,3,125,41.7,,43,114,1,,19.0,4,193,,3.0,,52,166,,1,1,7,,1.0,,,,,,,,,,,,1.0,,
